community_area,community_area_name,n_schools_5e,avg_leaders_score,avg_teachers_score,avg_families_score,avg_environment_score,avg_instruction_score,sr_total_requests,sr_total_closed,sr_avg_share_closed,sr_avg_median_ttc_hours,sr_avg_p75_ttc_hours,sr_avg_pct_closed_24h,sr_avg_pct_closed_7d,sr_avg_pct_closed_30d,cps_n_schools,cps_student_attendance,cps_teacher_attendance,cps_mobility_rate,cps_graduation_rate,cps_college_enrollment,acs_total_population,acs_poverty_rate,acs_median_household_income_weighted,acs_unemployment_rate,acs_pct_less_than_hs,acs_pct_bachelor_plus,acs_snap_rate,acs_public_assist_rate,acs_rent_burden_30p_rate,acs_rent_burden_50p_rate,acs_crowding_rate,acs_pct_renter,acs_vacancy_rate,acs_no_vehicle_rate,acs_pct_white_non_hispanic,acs_pct_black_non_hispanic,acs_pct_hispanic
31,LOWER WEST SIDE,16,50.41666666666667,52.85416666666666,56.51111111111111,54.07291666666666,53.770833333333336,40737,40135,0.98535,21.864075,205.76716666666667,0.5210916666666666,0.7582166666666666,0.8767,86.73809523809523,88.35694444444444,14.266666666666664,68.5111111111111,34.77777777777778,16,33446,0.1699,77189.0,0.0695,0.2156,0.4153,0.2036,0.0388,0.3575,0.1977,0.0427,0.6798,0.0911,0.2408,0.216,0.0237,0.6823
32,LOOP,3,45.55555555555557,46.333333333333336,56.94444444444445,60.0,64.11111111111111,30515,29809,0.962575,227.113075,1306.88073125,0.43226875,0.6418,0.80329375,75.58333333333333,91.41666666666669,33.25555555555555,94.73333333333332,57.28888888888889,3,42550,0.1106,119666.0,0.0544,0.0335,0.8381,0.0279,0.0119,0.4553,0.2333,0.0312,0.6772,0.1066,0.499,0.4992,0.1095,0.1055
33,NEAR SOUTH SIDE,4,54.58333333333333,51.333333333333336,59.20833333333333,46.79166666666667,54.375,11770,11492,0.9791,136.30323846153848,676.6707230769231,0.4240153846153846,0.6526076923076923,0.7679307692307693,87.11666666666666,91.97777777777776,10.744444444444444,89.5,33.266666666666666,4,30482,0.0896,124851.0,0.0413,0.0228,0.8232,0.1037,0.0194,0.522,0.1692,0.0224,0.5042,0.0569,0.226,0.4292,0.2605,0.0791
34,ARMOUR SQUARE,3,52.11111111111112,53.22222222222223,56.66666666666666,49.11111111111112,52.88888888888889,10502,10343,0.9883,33.70135714285714,247.00715714285712,0.4597714285714285,0.7041428571428572,0.8526,93.66111111111113,90.85555555555555,6.388888888888888,88.66666666666667,59.03333333333334,3,13848,0.244,44607.0,0.107,0.2936,0.2975,0.3393,0.0441,0.4936,0.2002,0.0745,0.6189,0.0538,0.3531,0.1312,0.1177,0.0464
35,DOUGLAS,12,49.94444444444445,48.47222222222222,49.766666666666666,50.638888888888886,61.22222222222222,8832,8664,0.9809666666666668,60.19441666666666,452.14456666666666,0.3966333333333333,0.6287666666666666,0.7851833333333333,78.93333333333334,89.71666666666667,28.080555555555552,77.44,39.490476190476194,12,21088,0.2501,57733.0,0.1584,0.0968,0.4078,0.2826,0.044,0.502,0.2622,0.0442,0.8034,0.0811,0.4607,0.1049,0.6411,0.0783
36,OAKLAND,1,67.0,61.333333333333336,51.0,,,3960,3907,0.9870666666666666,75.50756666666666,608.1999,0.3629333333333333,0.6063,0.774,87.8,91.16666666666669,21.266666666666666,,,1,3580,0.4723,39098.0,0.1913,0.0798,0.2258,0.5397,0.0557,0.5759,0.357,0.021,0.8918,0.0391,0.417,0.0517,0.8832,0.0349
37,FULLER PARK,2,53.58333333333333,54.08333333333333,61.41666666666666,48.25,56.91666666666667,4592,4525,0.9899555555555556,255.6561,1178.1279555555557,0.3593,0.6757444444444444,0.8350888888888889,89.375,93.07500000000002,13.633333333333333,,,2,2270,0.5683,19939.0,0.2216,0.2326,0.1245,0.6572,0.083,0.6141,0.3529,0.0205,0.7246,0.252,0.542,0.0198,0.7912,0.0784
38,GRAND BOULEVARD,6,46.97222222222222,46.5,41.47222222222222,45.44444444444445,57.69444444444445,19218,19018,0.9860555555555556,255.64355555555557,917.214388888889,0.3031444444444444,0.5203777777777777,0.7243888888888889,83.58611111111111,90.54722222222225,17.68,79.08333333333334,61.83333333333333,6,25181,0.2555,59662.0,0.1719,0.1032,0.3881,0.3721,0.0279,0.5859,0.2963,0.0216,0.6892,0.089,0.2931,0.0566,0.84,0.046
39,KENWOOD,6,50.388888888888886,48.94444444444445,50.11111111111112,46.97222222222222,57.25,10094,9882,0.9692444444444444,92.0141888888889,536.4550444444444,0.3270666666666666,0.6364111111111111,0.7840888888888888,89.08055555555556,91.73,8.772222222222222,91.33333333333334,74.8,6,12580,0.2434,59867.0,0.1366,0.0672,0.52,0.3166,0.0451,0.4778,0.2506,0.0123,0.6527,0.1052,0.3697,0.1715,0.6797,0.0408
40,WASHINGTON PARK,5,47.0,45.266666666666666,42.73333333333333,35.16666666666667,49.1,10061,9957,0.9919428571428572,89.08314285714286,549.2598428571429,0.3716142857142857,0.6165285714285714,0.7962571428571429,86.65333333333334,91.00833333333334,16.9,84.83333333333333,57.46666666666667,5,12313,0.4111,31827.0,0.171,0.1376,0.2659,0.44,0.0477,0.5971,0.341,0.031,0.8687,0.1326,0.361,0.0196,0.9192,0.029
