community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
7,2021,27.0,11,11,1.0,0,0.0,429.7631,1230.2714,717.2406,,,0.2727,0.3636,0.3636,0.6364,True,True
7,2021,32.0,1776,1729,0.9735,47,0.0265,64.8733,650.2711,1506.2451,39026.7417,39502.6271,0.3452,0.5056,0.5901,0.7376,False,False
7,2021,43.0,9514,9324,0.98,190,0.02,53.6106,505.1429,1293.2766,38966.466,40669.7938,0.3586,0.5261,0.6306,0.7656,False,False
7,2021,44.0,86,86,1.0,0,0.0,27.7333,185.5976,555.3242,,,0.4302,0.6395,0.7326,0.8372,False,False
7,2022,1.0,114,114,1.0,0,0.0,24.7558,105.5935,350.044,,,0.4649,0.7105,0.7807,0.8509,False,False
7,2022,2.0,1996,1981,0.9925,15,0.0075,64.3036,539.3775,1160.0906,31378.7447,32189.6919,0.3697,0.5256,0.6087,0.7725,False,False
7,2022,27.0,7,5,0.7143,2,0.2857,746.7811,8718.4236,5725.4338,30320.21,32013.2612,0.2857,0.2857,0.2857,0.2857,True,True
7,2022,32.0,1981,1944,0.9813,37,0.0187,67.7654,588.1747,1461.2138,30157.8936,33298.2175,0.3579,0.5053,0.6012,0.7491,False,False
7,2022,43.0,10101,9922,0.9823,179,0.0177,61.6311,470.0876,1328.4315,29522.1686,32305.5321,0.346,0.5264,0.621,0.7717,False,False
7,2022,44.0,73,73,1.0,0,0.0,27.485,158.0225,425.4088,,,0.4521,0.6164,0.7534,0.8493,False,False
7,2023,2.0,2020,1985,0.9827,35,0.0173,19.3325,164.7422,610.5226,21691.9772,23309.1411,0.548,0.6634,0.7396,0.8559,False,False
7,2023,27.0,15,14,0.9333,1,0.0667,534.9704,941.6181,2949.7896,17674.0458,17674.0458,0.2,0.3333,0.3333,0.6,True,True
7,2023,32.0,2830,2792,0.9866,38,0.0134,60.1446,366.1511,818.2614,22112.836,24372.2128,0.3473,0.5283,0.6456,0.8346,False,False
7,2023,43.0,10828,10603,0.9792,225,0.0208,42.7556,308.9501,831.9417,21221.5631,23075.9406,0.3976,0.5753,0.6743,0.8351,False,False
7,2024,2.0,1975,1879,0.9514,96,0.0486,35.3308,214.8483,761.4007,14838.1957,15105.4197,0.4385,0.5787,0.681,0.8147,False,False
7,2024,27.0,18,17,0.9444,1,0.0556,0.0158,125.3803,275.1133,10744.5386,10744.5386,0.5556,0.6111,0.7778,0.8333,True,True
7,2024,32.0,3512,3391,0.9655,121,0.0345,24.5767,162.1156,523.1863,13443.6517,15584.3297,0.4795,0.6301,0.7309,0.846,False,False
7,2024,43.0,12089,11619,0.9611,470,0.0389,28.9053,186.4088,524.3314,13494.5601,15328.8744,0.4215,0.6039,0.7096,0.8418,False,False
7,2024,44.0,44,43,0.9773,1,0.0227,6.6744,125.8154,445.7086,12507.4039,12507.4039,0.5455,0.6136,0.75,0.8409,False,False
7,2025,2.0,2417,2281,0.9437,136,0.0563,21.5711,140.1972,271.0644,4459.8671,5827.5884,0.4998,0.6434,0.7261,0.8308,False,False
7,2025,27.0,15,13,0.8667,2,0.1333,1.1608,51.5222,132.5288,1605.295,1838.9008,0.6,0.6667,0.6667,0.8667,True,True
